Time(s),Input,Output_Displacement,,,
1,1.042,4.985,,,
1.1,1.312,5.152,,,
1.2,1.558,5.365,,max = ,6.665
1.3,1.762,5.608,,,
1.4,1.909,5.861,,,
1.5,1.988,6.106,,,
1.6,1.993,6.323,,,
1.7,1.923,6.496,,,
1.8,1.783,6.613,,,
1.9,1.585,6.665,,,
2,1.343,6.648,,,
2.1,1.075,6.563,,,
2.2,0.801,6.418,,,
2.3,0.542,6.223,,,
2.4,0.318,5.993,,,
2.5,0.145,5.745,,,
2.6,0.036,5.497,,,
2.7,0,5.269,,,
2.8,0.039,5.078,,,
2.9,0.15,4.937,,,
3,0.325,4.857,,,
3.1,0.55,4.845,,,
3.2,0.81,4.901,,,
3.3,1.084,5.021,,,
3.4,1.351,5.196,,,
3.5,1.592,5.413,,,
3.6,1.789,5.655,,,
3.7,1.926,5.905,,,
3.8,1.994,6.143,,,
3.9,1.987,6.352,,,
4,1.906,6.516,,,
4.1,1.757,6.623,,,
4.2,1.551,6.664,,,
4.3,1.303,6.637,,,
4.4,1.033,6.543,,,
4.5,0.76,6.39,,,
4.6,0.506,6.189,,,
4.7,0.288,5.956,,,
4.8,0.124,5.707,,,
4.9,0.026,5.462,,,
5,0.001,5.238,,,
5.1,0.051,5.053,,,
5.2,0.173,4.921,,,
5.3,0.356,4.851,,,
5.4,0.588,4.849,,,
5.5,0.851,4.915,,,
5.6,1.125,5.044,,,
5.7,1.39,5.226,,,
5.8,1.625,5.448,,,
5.9,1.814,5.693,,,
6,1.941,5.942,,,
6.1,1.998,6.177,,,
6.2,1.979,6.38,,,
6.3,1.887,6.536,,,
6.4,1.729,6.633,,,
6.5,1.515,6.664,,,
6.6,1.263,6.627,,,
6.7,0.991,6.524,,,
6.8,0.72,6.362,,,
6.9,0.47,6.156,,,
7,0.259,5.919,,,
7.1,0.105,5.669,,,
7.2,0.017,5.426,,,
7.3,0.004,5.207,,,
7.4,0.065,5.029,,,
7.5,0.197,4.906,,,
7.6,0.389,4.847,,,
7.7,0.627,4.855,,,
7.8,0.892,4.931,,,
7.9,1.166,5.069,,,
8,1.428,5.258,,,
8.1,1.657,5.484,,,
8.2,1.837,5.731,,,
8.3,1.954,5.979,,,
8.4,2,6.21,,,
8.5,1.97,6.407,,,
8.6,1.867,6.555,,,
8.7,1.699,6.642,,,
8.8,1.479,6.663,,,
8.9,1.222,6.615,,,
9,0.949,6.502,,,
9.1,0.68,6.334,,,
9.2,0.435,6.121,,,
9.3,0.232,5.881,,,
9.4,0.087,5.631,,,
9.5,0.011,5.39,,,
9.6,0.008,5.177,,,
9.7,0.081,5.007,,,
9.8,0.222,4.893,,,
9.9,0.422,4.844,,,
10,0.666,4.862,,,
10.1,0.934,4.948,,,
10.2,1.208,5.095,,,
10.3,1.465,5.29,,,
10.4,1.688,5.521,,,
10.5,1.859,5.769,,,
10.6,1.966,6.016,,,
10.7,2,6.243,,,
10.8,1.959,6.433,,,
10.9,1.846,6.572,,,
11,1.669,6.65,,,
11.1,1.442,6.66,,,
11.2,1.182,6.602,,,
11.3,0.908,6.48,,,
11.4,0.641,6.304,,,
11.5,0.401,6.086,,,
11.6,0.206,5.843,,,
11.7,0.071,5.593,,,
11.8,0.005,5.356,,,
11.9,0.015,5.148,,,
12,0.098,4.986,,,
12.1,0.249,4.881,,,
12.2,0.457,4.842,,,
12.3,0.705,4.871,,,
12.4,0.976,4.967,,,
12.5,1.248,5.122,,,
12.6,1.502,5.324,,,
12.7,1.718,5.558,,,
12.8,1.88,5.807,,,
12.9,1.976,6.052,,,
13,1.998,6.275,,,
13.1,1.946,6.458,,,
13.2,1.822,6.588,,,
13.3,1.637,6.656,,,
13.4,1.404,6.655,,,
13.5,1.14,6.587,,,
13.6,0.866,6.457,,,
13.7,0.602,6.273,,,
13.8,0.368,6.05,,,
13.9,0.181,5.805,,,
14,0.056,5.556,,,
14.1,0.002,5.322,,,
14.2,0.023,5.12,,,
14.3,0.117,4.966,,,
14.4,0.278,4.871,,,
14.5,0.492,4.842,,,
14.6,0.746,4.882,,,
